	0	1	2	3	4	BT
215	2018/12/07	00:35:50	82	3432	0	34.592850000000006
216	2018/12/07	00:36:00	81	3432	0	34.592850000000006
217	2018/12/07	00:36:10	81	3436	0	34.63317
218	2018/12/07	00:36:20	80	3435	0	34.623090000000005
219	2018/12/07	00:36:30	80	3436	0	34.63317
220	2018/12/07	00:36:40	82	3436	0	34.63317
221	2018/12/07	00:36:50	84	3437	0	34.64325
222	2018/12/07	00:37:00	84	3437	0	34.64325
223	2018/12/07	00:37:10	84	3432	1	34.592850000000006
224	2018/12/07	00:37:20	81	3431	0	34.582770000000004
225	2018/12/07	00:37:30	90	3424	0	34.51221
226	2018/12/07	00:37:40	82	3428	0	34.552530000000004
227	2018/12/07	00:37:50	81	3428	0	34.552530000000004
228	2018/12/07	00:38:00	80	3427	0	34.54245
229	2018/12/07	00:38:10	80	3429	0	34.56261000000001
230	2018/12/07	00:38:20	79	3426	0	34.53237
231	2018/12/07	00:38:30	79	3425	0	34.522290000000005
232	2018/12/07	00:38:40	80	3427	0	34.54245
233	2018/12/07	00:38:50	80	3426	0	34.53237
234	2018/12/07	00:39:00	82	3425	0	34.522290000000005
235	2018/12/07	00:39:10	80	3429	0	34.56261000000001
236	2018/12/07	00:39:20	80	3429	0	34.56261000000001
237	2018/12/07	00:39:30	81	3427	0	34.54245
238	2018/12/07	00:39:40	81	3429	0	34.56261000000001
239	2018/12/07	00:39:50	81	3430	0	34.57269
240	2018/12/07	00:40:00	81	3431	0	34.582770000000004
241	2018/12/07	00:40:10	81	3429	0	34.56261000000001
242	2018/12/07	00:40:20	82	3432	0	34.592850000000006
243	2018/12/07	00:40:30	81	3432	0	34.592850000000006
244	2018/12/07	00:40:40	81	3435	1	34.623090000000005
245	2018/12/07	00:40:50	83	3431	0	34.582770000000004
246	2018/12/07	00:41:00	81	3437	0	34.64325
247	2018/12/07	00:41:10	81	3436	0	34.63317
248	2018/12/07	00:41:20	79	3433	0	34.60293
249	2018/12/07	00:41:30	78	3435	0	34.623090000000005
250	2018/12/07	00:41:40	79	3432	0	34.592850000000006
251	2018/12/07	00:41:50	83	3437	0	34.64325
252	2018/12/07	00:42:00	85	3437	0	34.64325
253	2018/12/07	00:42:10	86	3438	0	34.653330000000004
254	2018/12/07	00:42:20	86	3442	0	34.693650000000005
255	2018/12/07	00:42:30	85	3443	0	34.70373
256	2018/12/07	00:42:40	84	3446	0	34.73397000000001
257	2018/12/07	00:42:50	82	3446	0	34.73397000000001
258	2018/12/07	00:43:00	81	3447	0	34.74405
259	2018/12/07	00:43:10	80	3447	0	34.74405
260	2018/12/07	00:43:20	80	3448	0	34.75413
